IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.74.220,8080,false,HKG,Asia Pacific,Hong Kong,56 ms,25477 kB/s
8.210.175.109,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,24309 kB/s
8.218.2.181,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,19865 kB/s
47.242.232.14,2052,false,HKG,Asia Pacific,Hong Kong,69 ms,18786 kB/s
8.218.53.110,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,18129 kB/s
47.243.91.58,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,18059 kB/s
47.242.232.14,2082,false,HKG,Asia Pacific,Hong Kong,70 ms,16773 kB/s
47.242.59.216,80,false,HKG,Asia Pacific,Hong Kong,60 ms,16542 kB/s
8.210.65.1,8080,false,HKG,Asia Pacific,Hong Kong,71 ms,16338 kB/s
47.242.79.71,80,false,HKG,Asia Pacific,Hong Kong,60 ms,15725 kB/s
8.217.250.222,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,15717 kB/s
47.242.155.183,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,15576 kB/s
8.218.211.17,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,15457 kB/s
47.242.59.216,8080,false,HKG,Asia Pacific,Hong Kong,65 ms,14016 kB/s
8.210.66.190,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,13801 kB/s
47.242.79.71,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,13746 kB/s
8.217.85.14,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,13348 kB/s
8.210.175.109,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,13283 kB/s
8.210.34.188,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,12513 kB/s
8.218.211.17,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,12500 kB/s
47.242.155.183,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,12419 kB/s
8.217.250.222,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,12247 kB/s
47.243.139.243,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,12208 kB/s
8.210.3.24,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,12203 kB/s
47.243.90.180,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,11968 kB/s
8.210.100.23,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,11744 kB/s
8.210.156.6,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,11430 kB/s
47.242.157.96,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,11398 kB/s
8.210.156.6,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,11289 kB/s
47.242.79.71,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,11243 kB/s
47.243.139.243,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,11202 kB/s
8.217.164.10,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,11100 kB/s
8.218.18.132,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,10713 kB/s
47.76.77.103,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,10606 kB/s
8.218.48.92,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,10458 kB/s
8.217.91.121,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,10232 kB/s
47.243.169.63,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,10220 kB/s
8.218.48.92,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,9990 kB/s
8.210.192.93,80,false,HKG,Asia Pacific,Hong Kong,60 ms,9934 kB/s
8.217.164.10,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,9922 kB/s
8.222.179.231,80,false,SIN,Asia Pacific,Singapore,230 ms,9777 kB/s
